"carat","cut","color","clarity","depth","table","price","x","y","z"
0.61,"Very Good","I","IF",60.2,57,2057,5.49,5.58,3.33
1.54,"Premium","J","VVS2",61.1,59,8652,7.45,7.4,4.54
0.41,"Ideal","F","VVS2",61,56,1115,4.78,4.82,2.93
0.2,"Premium","E","VS2",59.8,62,367,3.79,3.77,2.26
1.01,"Very Good","I","VS2",60.9,59,5067,6.42,6.45,3.92
0.57,"Very Good","J","VS1",62.9,57,1270,5.25,5.28,3.31
0.3,"Ideal","G","VVS2",62.4,57,665,4.27,4.29,2.67
0.51,"Ideal","D","VS2",61.6,57,2056,5.19,5.14,3.18
0.39,"Ideal","J","VS2",61.2,56,642,4.71,4.74,2.89
1.52,"Premium","H","SI1",62.1,59,9527,7.29,7.36,4.55
0.73,"Very Good","E","SI1",61.6,59,2760,5.77,5.78,3.56
0.65,"Ideal","E","VS1",61.4,59,2533,5.53,5.57,3.41
0.64,"Ideal","G","SI2",62.2,53,1175,5.54,5.56,3.45
0.58,"Ideal","D","VS1",61.8,56,2211,5.34,5.37,3.31
0.32,"Ideal","H","VS1",62.1,55,524,4.39,4.4,2.73
1.08,"Ideal","H","SI1",62.2,57,4333,6.56,6.6,4.09
1.02,"Good","G","VS1",64.3,57,6059,6.34,6.28,4.06
1.03,"Premium","J","SI1",61.1,61,3749,6.49,6.44,3.95
1.12,"Ideal","G","VS2",62.1,57,6322,6.63,6.6,4.11
1.01,"Ideal","H","SI1",62.1,56,4886,6.38,6.47,3.99
1.2,"Good","J","VS2",63.7,58,4548,6.68,6.61,4.23
0.41,"Premium","G","SI1",62.6,59,923,4.77,4.72,2.97
0.79,"Ideal","E","SI1",61.9,55,3256,5.97,5.89,3.67
0.91,"Very Good","D","VS2",62.7,59,4720,6.13,6.16,3.85
0.72,"Ideal","E","SI1",62.7,55,2886,5.64,5.69,3.55
0.36,"Ideal","E","VS1",62,56,1094,4.59,4.57,2.84
0.4,"Ideal","J","SI1",61.2,56,820,4.77,4.81,2.93
0.5,"Premium","G","VVS2",59.6,60,1935,5.18,5.15,3.08
0.45,"Very Good","G","VVS1",60,57,1193,4.99,5.02,3
0.31,"Premium","H","IF",60.8,59,949,4.39,4.36,2.66
0.38,"Premium","I","VS2",62.5,58,812,4.61,4.58,2.87
2,"Ideal","I","SI2",61.1,59,13921,8.07,8.11,4.94
0.42,"Very Good","G","SI1",61.9,55,798,4.78,4.88,2.99
0.9,"Ideal","J","SI1",62.7,56,3445,6.21,6.16,3.88
0.34,"Premium","G","VS2",61.2,58,596,4.46,4.5,2.74
0.92,"Premium","I","SI1",62.9,60,3190,6.18,6.13,3.87
0.91,"Very Good","F","SI1",62.3,58,4785,6.14,6.19,3.84
0.31,"Premium","D","VS1",59.6,58,683,4.38,4.41,2.62
0.32,"Premium","F","SI1",60,59,533,4.42,4.45,2.66
0.7,"Fair","F","VS2",65.5,57,2369,5.55,5.41,3.59
0.42,"Ideal","E","VS2",62.3,55,1024,4.83,4.77,2.99
0.8,"Ideal","F","VS1",61.2,56,3860,5.98,6.01,3.67
1.02,"Premium","G","VS2",61.5,59,5250,6.4,6.45,3.95
0.75,"Ideal","E","SI1",62.1,55,3170,5.81,5.85,3.62
0.72,"Premium","J","SI1",62.1,59,1987,5.75,5.71,3.56
0.5,"Ideal","H","IF",61.1,58,1844,5.1,5.14,3.13
1.71,"Good","I","SI1",63.2,57,9881,7.49,7.53,4.75
0.53,"Very Good","J","VS2",62.4,58,1124,5.15,5.24,3.24
0.42,"Ideal","D","SI1",61.5,56,1040,4.85,4.81,2.97
2.15,"Ideal","H","SI2",60.3,59,16146,8.34,8.41,5.05
1.15,"Ideal","G","SI1",61.7,56,5224,6.72,6.76,4.16
0.72,"Ideal","E","VVS1",61.4,57,4864,5.74,5.79,3.54
1.52,"Premium","H","VS2",59.4,59,11105,7.45,7.49,4.44
0.54,"Good","D","SI1",57.9,60,1767,5.36,5.39,3.11
1.51,"Ideal","G","VS1",60.6,57,14507,7.48,7.38,4.5
0.41,"Premium","E","SI2",60,59,876,4.82,4.78,2.88
1.51,"Very Good","J","VS2",60.2,59,7418,7.35,7.36,4.43
0.41,"Good","E","VS2",63.1,64,981,4.66,4.63,2.93
0.47,"Ideal","E","SI2",61.5,55,931,4.98,5.04,3.08
1,"Premium","F","SI1",62.4,58,3528,6.39,6.27,3.95
0.75,"Good","E","SI2",62.3,58,2702,5.78,5.81,3.61
0.31,"Ideal","E","VS1",61.6,55,722,4.39,4.41,2.71
0.24,"Ideal","F","VVS1",61.8,59,526,4,4.03,2.48
0.3,"Good","D","SI1",63.1,56,515,4.24,4.28,2.69
0.31,"Premium","F","SI2",63,58,523,4.36,4.34,2.74
0.3,"Very Good","I","VS1",63.4,54,608,4.32,4.29,2.73
0.36,"Ideal","G","SI1",62.7,55,689,4.59,4.54,2.86
2,"Very Good","J","SI1",60.8,58,12768,7.99,8.07,4.88
1.14,"Premium","J","SI1",62.4,59,3792,6.7,6.62,4.16
0.41,"Ideal","E","VS2",62.4,54,999,4.79,4.76,2.98
0.34,"Ideal","D","VVS1",61.7,56,1133,4.46,4.48,2.76
2,"Ideal","I","SI2",59.8,55,11255,8.28,8.18,4.92
1.56,"Very Good","J","SI2",58.3,63,6996,7.64,7.7,4.47
0.91,"Ideal","D","VS2",60.9,57,6444,6.26,6.32,3.83
1.7,"Ideal","H","I1",62.6,54,7197,7.63,7.58,4.77
0.72,"Very Good","J","VVS2",63,59,2144,5.7,5.72,3.6
0.3,"Premium","G","SI2",62.3,59,506,4.29,4.25,2.66
1.61,"Ideal","H","VS2",61.8,56,13873,7.48,7.52,4.63
2.01,"Ideal","I","VS1",62.5,56,17068,8.08,8.02,5.03
0.39,"Ideal","E","VVS2",62.1,54.6,1100,4.67,4.7,2.91
0.31,"Ideal","D","SI1",61.7,57,571,4.34,4.38,2.69
0.46,"Ideal","G","VVS2",62.4,54.4,1306,4.93,4.98,3.09
1.03,"Premium","F","SI2",60.7,60,4586,6.52,6.47,3.94
0.7,"Ideal","H","SI1",62,55,2184,5.71,5.68,3.53
0.71,"Ideal","F","VS1",61.1,57,3013,5.76,5.82,3.54
0.7,"Premium","D","SI2",60,60,2596,5.72,5.56,3.5
0.51,"Very Good","D","SI2",60.3,57,1204,5.15,5.17,3.11
1.01,"Fair","F","SI2",60.1,66,3597,6.44,6.41,3.86
0.42,"Ideal","G","VVS2",62.4,55,1103,4.82,4.79,3
0.51,"Fair","G","SI1",65.2,55,1071,5.04,5.02,3.28
0.42,"Very Good","H","SI1",63.1,57,898,4.78,4.76,3.01
1.03,"Premium","F","VVS1",59.7,60,10546,6.63,6.57,3.94
0.91,"Premium","E","VS2",62.8,59,4739,6.17,6.15,3.87
1.51,"Ideal","H","VS1",62.6,56,11580,7.28,7.32,4.57
1.05,"Ideal","G","VS1",62.2,53,7270,6.51,6.55,4.06
0.33,"Ideal","F","VVS2",60.7,57,824,4.48,4.51,2.73
0.92,"Premium","J","SI1",62.9,58,2858,6.22,6.18,3.9
0.32,"Ideal","F","SI2",61.7,56,561,4.41,4.44,2.73
0.8,"Very Good","H","SI1",63,57,3005,5.89,5.95,3.73
0.31,"Very Good","D","SI2",63.1,54,593,4.38,4.33,2.75
0.57,"Ideal","G","VS1",62.5,54.2,1943,5.29,5.31,3.31
1.31,"Premium","G","VS1",61.5,59,9891,7,7.06,4.32
0.7,"Very Good","I","SI1",63.8,59,1890,5.56,5.6,3.56
0.52,"Very Good","E","SI2",62.9,56,1120,5.12,5.15,3.23
1.28,"Good","H","SI2",63.8,55,4516,6.84,6.79,4.35
0.71,"Premium","I","VVS2",61.9,60,2450,5.75,5.69,3.54
0.44,"Ideal","G","SI1",61.1,56,813,4.92,4.94,3.01
1,"Premium","G","VS2",61.6,58,6048,6.43,6.39,3.95
1.02,"Very Good","I","VS1",62.2,60,5302,6.4,6.43,3.99
0.31,"Ideal","E","IF",63,55,1214,4.34,4.37,2.73
0.7,"Ideal","F","VVS1",62.4,55,4341,5.65,5.69,3.54
0.5,"Premium","F","VS2",62.1,58,1654,5.1,5.01,3.14
0.56,"Ideal","H","VVS1",62.1,54,1819,5.28,5.31,3.29
0.23,"Very Good","D","VVS2",62.6,58,530,3.89,3.94,2.45
0.53,"Ideal","D","SI1",60.4,57,2021,5.28,5.31,3.2
0.67,"Good","F","VS2",58.7,61.5,2309,5.67,5.79,3.37
1.06,"Ideal","F","SI2",61.8,56,5354,6.56,6.51,4.04
1.53,"Ideal","I","SI2",62.4,54,7859,7.34,7.41,4.6
0.34,"Ideal","D","VS1",60.9,56,1109,4.56,4.51,2.76
0.71,"Ideal","I","VS1",61.9,55,2637,5.75,5.71,3.55
0.64,"Ideal","G","IF",61.3,56,2790,5.54,5.58,3.41
0.39,"Good","G","VS2",60.3,60.6,743,4.7,4.71,2.84
1.27,"Very Good","I","SI1",63,60,6654,6.86,6.8,4.3
0.32,"Premium","G","SI1",62.5,58,477,4.4,4.43,2.76
0.92,"Premium","E","SI1",62.2,58,4562,6.18,6.23,3.86
0.3,"Very Good","G","VS1",63.5,58,725,4.26,4.21,2.69
0.61,"Ideal","E","VVS1",59.9,61,3212,5.5,5.55,3.31
0.73,"Good","E","I1",56.9,60,1628,5.98,5.93,3.39
0.34,"Very Good","F","SI1",59.4,62,566,4.54,4.59,2.71
0.7,"Good","I","VS2",57.1,61,2010,5.9,5.93,3.38
0.34,"Ideal","G","IF",61.6,56,1014,4.48,4.51,2.77
0.54,"Very Good","I","VS2",62.3,56,1317,5.17,5.22,3.24
1.7,"Premium","I","VS2",61.7,59,11360,7.68,7.63,4.72
0.53,"Very Good","E","VS1",62.6,59,1909,5.19,5.25,3.27
1,"Fair","H","SI2",69.5,55,2875,6.17,6.1,4.26
1.73,"Premium","H","SI1",62,59,12058,7.68,7.59,4.73
0.66,"Ideal","D","VS1",62.1,56,2851,5.54,5.57,3.45
0.98,"Fair","G","I1",58.7,57,1932,6.54,6.43,3.8
0.59,"Premium","E","VS2",62.3,55,1883,5.43,5.39,3.37
0.37,"Ideal","F","VVS1",61.5,56,931,4.59,4.61,2.83
0.59,"Very Good","G","VVS1",61.5,55,2256,5.4,5.43,3.33
0.9,"Very Good","F","SI2",63.4,59,3605,6.07,6.11,3.86
0.9,"Very Good","G","VS2",63.4,59,4135,6.08,6.13,3.87
1.26,"Premium","F","VS1",62,58,10669,6.95,6.88,4.29
1,"Very Good","H","SI1",61.8,57,4995,6.39,6.42,3.96
1.24,"Premium","F","SI2",61.4,58,5889,6.94,6.9,4.25
1.42,"Premium","E","SI1",61.1,62,9447,7.2,7.17,4.39
1.59,"Ideal","I","SI2",60.5,55,8975,7.62,7.55,4.59
0.45,"Fair","F","SI1",66.8,59,794,4.79,4.63,3.16
0.33,"Premium","H","VS2",62.3,58,668,4.41,4.38,2.74
0.71,"Premium","D","SI1",61,61,2863,5.82,5.75,3.53
1.54,"Very Good","G","SI2",61.5,61,8808,7.35,7.42,4.54
1,"Very Good","I","SI1",58.5,61,4649,6.51,6.55,3.82
0.33,"Ideal","D","SI1",62.7,55,608,4.4,4.44,2.77
0.72,"Ideal","F","IF",62,57,4228,5.71,5.78,3.56
0.38,"Ideal","E","VS1",61.6,56,1069,4.67,4.65,2.87
1.16,"Ideal","G","SI2",61.9,56,4969,6.77,6.73,4.18
0.73,"Ideal","H","SI1",62.9,56,2269,5.79,5.75,3.63
1.05,"Ideal","J","VS2",62.3,56,4201,6.55,6.51,4.07
0.71,"Very Good","F","VS2",59.5,58,2918,5.82,5.87,3.48
0.4,"Ideal","I","VS1",61.5,59,736,4.72,4.75,2.91
0.53,"Ideal","E","VS2",61.3,55,1721,5.2,5.24,3.2
0.73,"Ideal","G","VS1",61.7,56,3525,5.76,5.79,3.56
1.52,"Premium","J","VS1",61.2,59,8366,7.39,7.36,4.51
1.01,"Premium","H","SI2",59.9,59,4242,6.55,6.48,3.9
2.77,"Premium","H","I1",62.6,62,10424,8.93,8.83,5.56
0.3,"Ideal","F","IF",59.4,60,873,4.37,4.39,2.6
0.54,"Ideal","G","VVS2",61.9,55,1927,5.2,5.3,3.25
2.43,"Premium","I","SI2",62.2,60,14727,8.59,8.53,5.33
2,"Good","H","SI1",58,58,17447,8.21,8.26,4.78
0.39,"Very Good","G","SI1",58.9,61,703,4.74,4.76,2.8
1,"Premium","G","SI1",62.5,59,4493,6.35,6.29,3.95
1.5,"Very Good","G","VVS1",63.1,62,14361,7.25,7.23,4.57
2.02,"Ideal","I","SI2",61.7,57,13109,8.05,8.12,4.99
1.05,"Good","E","SI1",64.2,61,4878,6.33,6.41,4.09
0.93,"Good","D","SI2",61.4,63,4165,6.22,6.26,3.83
0.72,"Ideal","F","VS2",61.1,56,3226,5.92,5.8,3.55
0.33,"Premium","I","VVS2",62.1,56,743,4.45,4.41,2.75
1.03,"Ideal","E","SI2",61.6,56,4199,6.5,6.45,3.99
0.3,"Very Good","E","SI1",61.8,60,526,4.23,4.28,2.63
0.24,"Ideal","G","VS1",61.8,54,490,4.01,4.02,2.48
1.7,"Premium","F","SI1",62.4,57,14611,7.61,7.56,4.73
0.75,"Premium","G","SI2",62.7,58,2268,5.82,5.76,3.63
0.41,"Ideal","D","SI1",61,57,1015,4.8,4.78,2.92
1.54,"Very Good","F","SI1",58.8,60,11650,7.54,7.59,4.45
1.01,"Good","E","SI2",63.9,58,3737,6.37,6.31,4.05
0.29,"Very Good","G","VVS2",62.2,55,541,4.24,4.27,2.64
1.26,"Premium","I","SI2",60.1,59,5080,7.03,6.99,4.21
0.38,"Very Good","F","SI2",61,61,600,4.61,4.67,2.83
0.7,"Fair","I","SI1",65.8,57,1697,5.46,5.55,3.62
1.12,"Premium","I","SI2",61.2,58,3669,6.72,6.68,4.1
0.8,"Premium","E","SI2",59.1,61,2304,6.03,5.99,3.55
0.7,"Premium","F","I1",63,61,1040,5.69,5.55,3.54
0.25,"Ideal","G","IF",61.7,56,624,4.04,4.1,2.51
1.05,"Very Good","G","VS1",61.8,58,6766,6.5,6.55,4.03
1,"Very Good","H","SI1",61.9,58,4953,6.3,6.37,3.92
2.09,"Ideal","J","VS1",61.2,59,15172,8.31,8.22,5.06
0.51,"Ideal","F","VS2",61.3,56,1562,5.14,5.11,3.14
1.06,"Very Good","I","SI1",62.8,56,4255,6.47,6.52,4.08
0.3,"Very Good","G","SI1",62.1,58,432,4.26,4.28,2.65
0.71,"Good","E","SI1",58.4,61,2573,5.85,5.93,3.44
0.3,"Premium","D","VS2",60.7,60,911,4.37,4.33,2.64
0.58,"Ideal","D","VVS1",61.6,60,3154,5.34,5.35,3.29
0.7,"Good","H","VS2",61.4,56,2253,5.73,5.8,3.54
1.06,"Very Good","G","VS1",61.7,57,7132,6.52,6.56,4.04
0.75,"Ideal","F","SI2",59.2,60,2248,5.87,5.92,3.49
0.35,"Premium","E","VS1",60.8,58,829,4.55,4.58,2.78
0.32,"Good","D","SI1",63.6,56,756,4.37,4.34,2.77
1.5,"Good","I","I1",63.7,61,3696,7.22,7.1,4.57
0.5,"Good","F","VS2",63.3,58,1436,4.98,5.03,3.17
1.11,"Very Good","E","VS1",61.6,57,8852,6.59,6.63,4.07
0.42,"Ideal","F","VS1",62.3,55,1103,4.79,4.77,2.98
0.81,"Ideal","I","VS1",61.8,56,3422,5.97,6,3.7
0.71,"Premium","D","SI1",60.9,59,2743,5.72,5.71,3.48
0.7,"Ideal","F","VVS2",61.9,55,2701,5.72,5.68,3.53
1.01,"Ideal","G","VS2",62,54.9,6295,6.41,6.44,3.99
1.05,"Very Good","J","SI2",60.9,60,3395,6.51,6.59,3.99
0.3,"Very Good","G","VVS2",63.1,56,878,4.23,4.2,2.66
0.9,"Very Good","F","VS2",61.9,57,4678,6.17,6.23,3.84
0.32,"Ideal","D","SI1",60.9,56,589,4.4,4.43,2.69
0.31,"Ideal","G","VVS2",62.4,54,687,4.37,4.38,2.73
1.01,"Good","D","SI1",64.1,60,4909,6.3,6.27,4.03
0.9,"Good","H","SI1",62.1,61,3447,6.07,6.11,3.78
0.56,"Ideal","G","VS2",62.1,56,1580,5.29,5.31,3.29
0.53,"Ideal","F","IF",61.9,54,2802,5.22,5.25,3.24
0.59,"Very Good","I","VVS1",62.8,58,1709,5.3,5.34,3.34
0.32,"Ideal","H","VVS1",62.2,56,730,4.37,4.38,2.72
0.41,"Ideal","D","VS2",61.6,55,1076,4.77,4.74,2.93
1.13,"Very Good","F","SI1",60.6,60,5481,6.67,6.76,4.07
0.3,"Ideal","H","SI1",61.6,57,572,4.28,4.32,2.65
0.7,"Very Good","E","SI2",61.5,60,2263,5.65,5.7,3.49
0.51,"Very Good","E","SI2",61.6,57,1195,5.17,5.19,3.19
0.41,"Ideal","E","VS1",62,55,1153,4.77,4.74,2.95
2.19,"Good","G","SI1",63.7,56,13978,8.26,8.17,5.23
1.16,"Ideal","G","VVS2",62,56,8646,6.71,6.75,4.17
0.76,"Good","I","SI1",64.1,59,1914,5.73,5.75,3.68
0.29,"Ideal","E","VVS2",62,55,858,4.27,4.25,2.64
0.8,"Very Good","F","SI1",62.6,58,2862,5.9,5.92,3.7
0.91,"Fair","F","SI2",64.9,56,3210,6.08,6.05,3.94
0.51,"Ideal","G","VS2",62.9,54,1546,5.12,5.08,3.21
1.01,"Very Good","F","SI1",60.8,59,4869,6.49,6.53,3.96
0.32,"Ideal","I","VS1",61.3,56,523,4.43,4.45,2.72
0.31,"Premium","F","VVS1",59.7,59,801,4.45,4.49,2.67
1.17,"Ideal","H","SI2",62.3,57,5111,6.78,6.74,4.21
1.5,"Good","J","SI2",63.6,58,6306,7.18,7.25,4.59
1.01,"Premium","H","SI1",58.8,62,4191,6.59,6.54,3.86
0.34,"Very Good","I","SI1",61.7,56,459,4.51,4.54,2.79
1.01,"Very Good","E","VS2",59.3,59,5760,6.5,6.56,3.87
0.38,"Very Good","F","VVS2",61.9,59.7,1060,4.64,4.65,2.87
1.51,"Ideal","H","SI1",61.9,58,10096,7.33,7.37,4.55
1.69,"Ideal","I","VS2",60.5,56,13645,7.74,7.77,4.69
0.41,"Premium","G","VS1",61.9,60,961,4.76,4.7,2.93
1.13,"Ideal","D","SI2",60.1,55,5412,6.79,6.85,4.1
1.11,"Ideal","H","VVS2",61.2,56,7136,6.74,6.7,4.11
1.61,"Very Good","J","SI1",61.7,60,7695,7.45,7.5,4.61
0.55,"Very Good","E","VVS2",59.9,58,2656,5.29,5.33,3.18
0.42,"Premium","G","VS2",59.5,59,847,4.83,4.89,2.89
0.29,"Ideal","E","VS1",61.2,56,619,4.27,4.29,2.61
2.01,"Fair","G","SI2",63.8,59,14799,7.77,7.87,4.99
1.14,"Ideal","G","VS1",62.5,56,7255,6.69,6.66,4.17
0.33,"Very Good","E","VVS2",62.3,56,893,4.4,4.44,2.75
0.42,"Ideal","F","VS1",60.9,57,1103,4.88,4.84,2.96
0.47,"Good","E","VS1",65.4,56,1293,4.85,4.9,3.19
1.55,"Premium","J","VS2",60.7,59,7911,7.47,7.5,4.54
2.2,"Ideal","I","SI1",61.7,55,17895,8.37,8.41,5.18
0.23,"Very Good","E","VVS2",61.8,59,465,3.92,3.95,2.43
0.31,"Premium","E","VS2",61.7,58,872,4.34,4.31,2.67
0.3,"Premium","D","VS2",62.6,61,911,4.25,4.22,2.65
0.59,"Premium","I","IF",61.2,58,1866,5.38,5.41,3.3
0.41,"Ideal","I","VVS2",62.3,56,1061,4.77,4.73,2.96
0.26,"Very Good","G","VVS2",62.2,56,486,4.09,4.12,2.55
0.24,"Ideal","F","VVS2",60.7,56,552,3.98,4.03,2.43
0.3,"Fair","E","VVS2",51,67,945,4.67,4.62,2.37
0.41,"Premium","F","SI1",61,60,969,4.81,4.77,2.92
1.01,"Premium","F","VS2",62.3,58,6271,6.34,6.3,3.94
0.7,"Premium","G","VVS2",60.2,61,2999,5.74,5.66,3.43
0.8,"Ideal","F","VS1",61.6,54,3884,5.99,5.95,3.68
0.96,"Premium","J","SI1",60.3,59,3269,6.4,6.36,3.85
1.06,"Very Good","G","VS2",59.4,59,6217,6.68,6.63,3.95
0.72,"Ideal","G","SI2",60.8,57,2449,5.79,5.82,3.52
0.52,"Very Good","F","SI1",61,59,1326,5.18,5.21,3.17
0.33,"Premium","G","VS1",62.4,59,666,4.41,4.47,2.77
0.98,"Fair","G","I1",69.7,58,1712,6.08,5.98,4.21
0.35,"Ideal","H","VVS1",60.5,57,839,4.58,4.59,2.77
1.26,"Ideal","E","SI2",61,57,6477,7.03,6.97,4.27
0.33,"Ideal","D","SI2",62,57,492,4.45,4.46,2.76
1.07,"Premium","I","SI2",59.7,59,4206,6.68,6.63,3.97
1.01,"Ideal","G","SI1",62.2,55,5166,6.44,6.46,4.01
0.78,"Very Good","I","SI1",63.1,56,2228,5.88,5.82,3.69
0.75,"Premium","F","SI2",59.8,60,1881,5.96,5.92,3.55
0.35,"Ideal","F","SI1",62.5,54,583,4.5,4.52,2.82
0.7,"Very Good","F","SI2",59.9,59,1940,5.75,5.81,3.46
0.33,"Premium","G","VS2",61.4,60,743,4.45,4.41,2.72
0.51,"Ideal","F","VS1",62.5,55,1744,5.08,5.13,3.19
1.34,"Ideal","H","SI1",62.4,54,7659,7.05,7.08,4.41
1.26,"Premium","E","SI2",60.3,60,5058,7,6.94,4.2
0.4,"Premium","F","VS1",61.1,59,982,4.71,4.75,2.89
0.5,"Fair","G","I1",65.2,56,727,4.95,4.89,3.21
1.02,"Premium","G","SI1",60.7,60,4855,6.51,6.48,3.94
0.51,"Ideal","H","VS1",61.1,56,1438,5.11,5.16,3.14
0.38,"Ideal","F","VS2",62.2,57,1026,4.63,4.6,2.87
0.72,"Ideal","G","VS1",61.3,56,3478,5.75,5.8,3.54
0.72,"Good","E","VS2",60.8,62,3140,5.73,5.78,3.5
0.52,"Very Good","D","VS1",62.6,59,1860,5.03,5.13,3.18
0.5,"Ideal","G","VVS1",62.1,53.5,1865,5.08,5.13,3.17
1.39,"Premium","F","SI1",62.1,58,8476,7.1,7.16,4.43
0.29,"Very Good","E","VVS1",60.9,61,629,4.23,4.27,2.59
1.03,"Very Good","F","SI2",60.2,55,3903,6.53,6.59,3.95
0.9,"Very Good","G","VS2",63.8,58,4400,6.08,6.12,3.89
0.31,"Very Good","F","IF",61.9,54,914,4.36,4.39,2.71
0.3,"Good","G","VVS2",63.1,56,684,4.2,4.23,2.66
0.73,"Ideal","D","SI1",62.4,53,3140,5.82,5.79,3.62
0.41,"Ideal","D","VS2",62.4,55,1076,4.79,4.76,2.98
0.41,"Ideal","H","VS1",61.8,56,827,4.77,4.81,2.96
0.81,"Ideal","F","SI2",58.8,57,2761,6.14,6.11,3.6
1,"Good","F","VS2",64,59,5864,6.29,6.25,4.03
1.51,"Very Good","G","VS1",59.5,59,14028,7.41,7.45,4.42
0.52,"Ideal","G","SI1",61.3,55,1389,5.2,5.24,3.2
0.9,"Premium","G","SI2",59.9,58,3492,6.22,6.27,3.74
0.5,"Good","E","VS2",63.8,54,1752,5.05,5.07,3.23
1.2,"Ideal","G","VS2",62.1,56,7741,6.84,6.78,4.23
0.3,"Premium","E","SI1",61.3,60,675,4.31,4.27,2.63
1.14,"Ideal","G","VS2",61.5,57,7042,6.68,6.72,4.12
1.2,"Premium","F","VS2",61.4,58,6182,6.8,6.75,4.16
0.3,"Very Good","H","SI2",63.2,55,485,4.29,4.26,2.7
2.01,"Premium","G","SI1",61.8,60,18077,7.99,8.04,4.95
0.4,"Very Good","D","VS2",63.6,55,850,4.68,4.72,2.99
1.33,"Ideal","H","SI1",60.1,57,7742,7.14,7.2,4.31
0.25,"Premium","E","VS1",60.7,59,435,4.11,4.13,2.5
0.41,"Premium","D","SI1",62.1,59,1015,4.76,4.74,2.95
1.27,"Premium","J","VS1",62.6,59,5618,6.92,6.88,4.32
1.09,"Very Good","I","VS2",62.6,57,5072,6.55,6.62,4.12
1.04,"Premium","G","SI1",60.9,59,5017,6.57,6.53,3.99
0.74,"Premium","D","SI1",60.6,60,2655,5.88,5.84,3.55
0.3,"Very Good","H","VS2",62.7,59,473,4.22,4.26,2.66
0.33,"Ideal","H","VVS2",61.9,55,666,4.45,4.47,2.76
0.7,"Very Good","F","VS2",61.1,62,2250,5.64,5.69,3.46
1.06,"Ideal","G","SI1",62.9,56,5461,6.52,6.49,4.09
0.33,"Premium","I","SI1",60.4,59,557,4.54,4.5,2.73
1.12,"Premium","H","SI2",62.4,58,4065,6.58,6.63,4.12
0.5,"Premium","D","SI1",61.2,60,1654,5.14,5.09,3.13
0.39,"Very Good","E","VVS2",61.9,58,971,4.66,4.68,2.89
0.71,"Premium","G","VS1",60.9,58,2694,5.77,5.73,3.5
0.37,"Premium","D","VVS2",61,60,1071,4.61,4.64,2.82
1.02,"Ideal","I","VS2",62.8,57,3148,6.45,6.39,4.03
0.31,"Ideal","H","VS1",62.6,55,698,4.35,4.31,2.71
0.33,"Very Good","F","VVS1",60.1,56,841,4.53,4.56,2.73
1.5,"Ideal","J","VVS1",62.2,59,9814,7.3,7.32,4.55
1,"Premium","G","SI2",61.8,60,4284,6.37,6.34,3.93
0.35,"Ideal","F","VS2",62.2,55,706,4.48,4.53,2.8
0.5,"Ideal","G","VVS2",62.7,55,1836,5.07,5.1,3.19
1.01,"Premium","G","VS2",59.1,58,6027,6.63,6.56,3.9
0.44,"Premium","F","VVS2",61.6,58,1196,4.85,4.89,3
0.43,"Ideal","F","VVS2",61.9,56,1250,4.84,4.82,2.99
0.33,"Ideal","H","VVS1",62.1,55,730,4.46,4.5,2.78
1,"Premium","I","SI2",62.5,56,3780,6.38,6.3,3.96
1.23,"Ideal","H","SI1",62.3,57,5938,6.85,6.89,4.28
1,"Premium","H","SI2",58.6,59,4088,6.57,6.5,3.83
0.72,"Ideal","E","SI1",62.1,57,2608,5.71,5.75,3.56
0.39,"Ideal","E","VS2",61.4,55,734,4.76,4.81,2.94
0.7,"Very Good","F","SI1",61.3,59,2401,5.68,5.74,3.5
0.54,"Ideal","G","SI1",61.4,54,1384,5.27,5.35,3.26
2.05,"Premium","E","SI2",59.7,59,17081,8.27,8.39,4.97
1.13,"Premium","H","SI1",61.2,59,4689,6.68,6.65,4.08
0.34,"Good","D","SI1",63.1,57,626,4.44,4.46,2.81
1.85,"Very Good","H","I1",63.3,56,5688,7.8,7.75,4.92
1.11,"Premium","H","SI2",61.9,59,4973,6.6,6.56,4.07
0.72,"Premium","F","VS2",62.7,59,2607,5.75,5.71,3.59
0.42,"Premium","E","SI1",61.5,61,926,4.87,4.82,2.98
1.72,"Premium","H","SI1",62.9,58,13078,7.63,7.59,4.79
0.31,"Ideal","F","IF",61.8,54,979,4.33,4.37,2.69
1.5,"Good","G","VS2",63.8,56,11508,7.2,7.15,4.58
1.11,"Ideal","G","VVS2",61.8,57,8858,6.67,6.64,4.11
1.51,"Premium","I","VS2",59.9,60,10010,7.42,7.36,4.43
1.03,"Ideal","H","SI2",61.1,57,4325,6.48,6.52,3.97
0.34,"Ideal","D","I1",62.5,57,530,4.49,4.47,2.8
0.34,"Ideal","G","IF",61.9,57,1084,4.48,4.47,2.77
0.3,"Premium","I","VS1",60.5,60,608,4.33,4.3,2.61
1.11,"Ideal","G","SI2",60.5,56,4755,6.71,6.67,4.05
1.23,"Ideal","H","SI2",60.6,57,5951,6.98,6.94,4.22
0.65,"Ideal","H","VS1",61.8,55,2106,5.6,5.56,3.45
0.34,"Good","G","VVS2",58,61,826,4.56,4.58,2.65
0.3,"Ideal","D","SI1",62,53,524,4.33,4.35,2.69
1.51,"Very Good","H","SI2",62.3,58,7823,7.29,7.25,4.53
1.01,"Good","H","SI1",64.6,56,4274,6.17,6.21,4
1.18,"Ideal","I","VS2",62.3,55.6,6191,6.73,6.76,4.21
0.24,"Very Good","E","VVS1",60.6,59,521,4,4.02,2.43
